Key;en;de;es;sq;sw
tabSelection;Select a questionnaire from the tabs;Wählen Sie einen Fragebogen ;Seleccione un cuestionario en las pestañas;Select a questionnaire from the tabs;Select a questionnaire from the tabs
selectAssessment;Select assessment:;Untersuchungstermine wählen:;Seleccione una evaluación:;Select assessment:;Select assessment:
timeoutAt;Session timed out at: ;Session beendet um: ;La sesión expiró en este momento: ;Session timed out at: ;Session timed out at: 
timeoutReason;The session was terminated due to inactivity: ;Die Session wurde wegen inaktivität beendet:;La sesión se cerró por inactividad: ;The session was terminated due to inactivity: ;The session was terminated due to inactivity: 
noPatient;No patient was found.;Es wurde kein Patient gefunden.;No se encontró ningún paciente.;No patient was found.;No patient was found.
noAssessment;No assessment found.;Es wurde kein Untersuchung gefunden.;No se encontró ninguna evaluación.;No assessment found.;No assessment found.
noQuestionnaire;No completed questionnaire found.;Es wurde kein ausgefüllter Fragebogen gefunden.;No se encontró ningún cuestionario completado;No completed questionnaire found.;No completed questionnaire found.
figure;Figure;Graphische Darstellung;Figura;Figure;Figure
evaluation;Evaluation;Evaluation;Evaluación;Evaluation;Evaluation
data;Raw data;Rohdaten;Datos brutos;Raw data;Raw data
assessment;assessment;Untersuchung;Evaluación;assessment;assessment
interpretation;interpretation;Interpretation;Interpretación;interpretation;interpretation
recommendation;recommendation;Empfehlung;Recomendación;recommendation;recommendation
warning;warning;Warnung;Advertencia;warning;warning
time;time;Zeitpunkt;Tiempo;time;time
scale;scale;Skala;Escala;scale;scale
score;score;Wert;Puntaje;score;score
